ITEM NO.,Description,Category,Material,Color,Dimensions (mm),Price (GHS),Stock,Quantity,Supplier,Image URL
6050-2,Kitchen mixer hot and cold,Faucet,,Chrome,,,,,,
6050-3,Kitchen mixer hot and cold,Faucet,,Brush Gold,,,,,,
6050-1,Kitchen mixer hot and cold,Faucet,,Grey,,,,,,
C113,Kitchen mixer hot and cold,Faucet,,Chrome,,,,,,
C114,Kitchen mixer hot and cold (black kitchen faucet),Faucet,,Black,,,,,,
C101-1,Single cold kitchen faucet,Faucet,,Grey,,,,,,
C101-2,Single cold kitchen faucet,Faucet,,Black,,,,,,
C102-1,Single cold kitchen faucet,Faucet,Inox 304,,,,,,,
6022-1,Basn mixer hot and cold,Faucet,,Grey,,,,,,
6022-2,Basn mixer hot and cold,Faucet,,Black,,,,,,
6023-1C,Basin mixer hot and cold brass,Faucet,Brass,Chrome,,,,,,
6088-1,Basin mixer hot and cold brass,Faucet,Brass,Chrome,,,,,,
6088-3,Basin mixer hot and cold brass,Faucet,Brass,Grey,,,,,,
6088-4,Basin mixer hot and cold brass,Faucet,Brass,Black,,,,,,
6099-1,Basin mixer hot and cold brass,Faucet,Brass,Grey,,,,,,
6099-2,Basin mixer hot and cold brass,Faucet,Brass,Chrome,,,,,,
8815,Basin mixer hot and cold 304SUS,Faucet,304SUS,Grey,,,,,,
8835,Basin mixer hot and cold brass,Faucet,Brass,Chrome,,,,,,
8836,Basin mixer hot and cold brass,Faucet,Brass,Chrome,,,,,,
8839,Basin mixer hot and cold brass,Faucet,Brass,Grey,,,,,,
8840,Basin mixer hot and cold brass,Faucet,Brass,Grey,,,,,,
8841,Basin mixer hot and cold brass,Faucet,Brass,Grey,,,,,,
8860,Basin mixer hot and cold brass,Faucet,Brass,Grey,,,,,,
8861,Basin mixer hot and cold brass,Faucet,Brass,Grey,,,,,,
8916,Basin mixer hot and cold brass,Faucet,Brass,Chrome,,,,,,
H231-2,Basin mixer hot and cold brass,Faucet,Brass,Grey,,,,,,
H231-4,Basin mixer hot and cold brass,Faucet,Brass,Chrome,,,,,,
M277,Basin mixer hot and cold 304SUS,Faucet,304SUS,Grey,,315,,,,
M278,Basin mixer hot and cold 304SUS,Faucet,304SUS,Nickle,,350,,,,
M278-1,Tall basin mixer hot and cold 304SUS,Faucet,304SUS,Nickle,,400,,,,
LO1,Cold tap mixer,Faucet,,,,,,,,
LO2,Cold tap mixer,Faucet,,,,,,,,
LG01,Angle valve,Accessory,,,,,,,,
LO02,Angle valve,Accessory,,,,,,,,
LO04,Angle valve,Accessory,,,,,,,,
P01,Flexible hose,Accessory,,,1500,,,,,
P2-40,Flexible hose,Accessory,,,400,,,,,
P2-50,Flexible hose,Accessory,,,500,,,,,
S3,Floor drain square,Accessory,,,100*100,,,,,
S5,Floor drain square grate,Accessory,,,100*100,,,,,
S6,Floor drain round grate,Accessory,,,100*100,,,,,
S7,Floor drain,Accessory,,,100*100,,,,,
S10,Linear floor drain,Accessory,,Nickle,100*300,,,,,
8022-1,Showet set basin,Shower,,Grey,,,,,,
8022-2,Showet set basin,Shower,,Chrome,,,,,,
8028,Showet set basin,Shower,,Grey,,,,,,
3113,Showet set basin,Shower,,Grey,,,,,,
3114,Shower set,Shower,,Chrome,,,,,,
3116,Shower set,Shower,,Chrome,,,,,,
3117,Shower set,Shower,,Chrome,,,,,,
5102,Showet set basin,Shower,,Grey,,,,,,
5901,Showet set basin,Shower,,Grey,,,,,,
K5,Shower set,Shower,,,,,,,,
K6,Shower set,Shower,,,,,,,,
7027,Sprayset,Accessory,,,,,,,,
7028,Sprayset,Accessory,,,,,,,,
7029,Sprayset,Accessory,,,,,,,,
7030,Sprayset,Accessory,,,,,,,,
2092-2,Sprayset,Accessory,,,,,,,,
2092-3,Sprayset,Accessory,,,,,,,,
341,Basin,Basin,,,,,,,,
342,Basin,Basin,,,,,,,,
343,Basin,Basin,,,,,,,,
344,Basin,Basin,,,,,,,,
345,Basin,Basin,,,,,,,,
347,Basin,Basin,,,,,,,,
2010,Basin pedestal,Basin,,,,,,,,
2011,Basin pedestal,Basin,,,,,,,,
2012,Basin pedestal,Basin,,,,,,,,
